"","STUDENTID","DISTRICTID","PHOENIX","Y1SCHOOLID","Y3SCHOOLID","FAST","S13A","S13B","LUNCH_STATUS","ATTENDANCE_RATE","S2B","C3YRSTCH","P6","P5","P3A","P3B","P3C","P4A","P4B","P4C","Q11","Q10","Q8A","Q8B","Q8C","Q9A","Q9B","Q9C","R6","R5","R3A","R3B","R3C","R4A","R4B","R4C","S12A","S11","S9A","S9B","S9C","S10A","S10B","S10C","PHQ2","ATTENDANCE_PCT","FR_LUNCH"
"517","E321020",3,"Phoenix School",321,NA,"Control School",NA,NA,3,0.86,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,"0"
"518","E411006",4,"San Antonio School",411,411,"Control School",NA,NA,1,0.992,NA,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2,"1"
"519","S304010",3,"Phoenix School",304,NA,"FAST Program",NA,NA,1,0.872,NA,NA,0,1,2,2,2,1,1,1,0,4,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,"1"
"520","S117018",1,"Phoenix School",117,NA,"Control School",NA,NA,1,0.989,NA,NA,3,2,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"521","E210057",2,"Phoenix School",210,210,"FAST Program",NA,NA,1,0.928,NA,5,5,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,"1"
"522","E421012",4,"San Antonio School",421,421,"FAST Program",NA,NA,1,0.944,NA,5,6,3,1,4,3,3,4,3,6,2,1,3,2,3,3,1,6,3,2,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"523","S224001",2,"Phoenix School",224,NA,"Control School",NA,NA,1,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,"1"
"524","E113028",1,"Phoenix School",113,NA,"FAST Program",NA,NA,1,0.994,NA,NA,6,2,3,3,3,4,2,4,0,3,1,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"525","S108025",1,"Phoenix School",108,108,"Control School",NA,NA,1,0.949,NA,3,6,2,1,3,3,3,3,3,6,2,2,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"526","E405023",4,"San Antonio School",405,NA,"Control School",NA,NA,1,0.96,NA,NA,2,3,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"527","E421004",4,"San Antonio School",421,NA,"FAST Program",NA,NA,1,0.994,NA,NA,0,1,1,1,1,1,1,1,0,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"528","E416076",4,"San Antonio School",416,416,"FAST Program",NA,NA,1,0.96,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"529","E416075",4,"San Antonio School",416,NA,"FAST Program",NA,NA,1,0.855,NA,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,"1"
"530","E302031",3,"Phoenix School",302,302,"FAST Program",NA,NA,2,0.922,NA,NA,4,3,3,3,3,3,3,3,5,2,2,2,2,2,2,NA,3,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,"1"
"531","E426042",4,"San Antonio School",426,426,"FAST Program",NA,NA,1,0.983,NA,5,3,3,4,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"532","E415003",4,"San Antonio School",415,415,"FAST Program",NA,NA,1,0.98,NA,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,"1"
"533","S048020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","E210097",2,"Phoenix School",210,210,"FAST Program",NA,NA,3,0.983,NA,3,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"0"
"535","E401010",4,"San Antonio School",401,401,"FAST Program",NA,NA,1,0.91,NA,4,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"1"
"536","E302069",3,"Phoenix School",302,NA,"FAST Program",NA,NA,3,0.942,NA,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2,"0"
"537","E414131",4,"San Antonio School",414,414,"FAST Program",NA,NA,1,0.904,NA,5,2,3,2,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,"1"
"538","S117033",1,"Phoenix School",117,117,"Control School",NA,NA,1,1,NA,5,6,4,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"539","E426069",4,"San Antonio School",426,NA,"FAST Program",NA,NA,1,0.91,NA,NA,0,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"1"
"540","S117040",1,"Phoenix School",117,NA,"Control School",NA,NA,NA,1,NA,NA,6,1,1,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
"541","E412036",4,"San Antonio School",412,NA,"Control School",NA,NA,3,0.859,NA,NA,2,1,1,2,1,1,3,1,6,1,2,2,1,2,4,2,2,2,1,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9,"0"
"542","S312077",3,"Phoenix School",312,NA,"Control School",NA,NA,1,0.894,NA,NA,3,2,1,1,1,1,1,1,4,4,2,4,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,"1"
"543","S304011",3,"Phoenix School",304,304,"FAST Program",NA,NA,2,0.9,NA,5,5,2,1,3,4,1,4,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"1"
"544","E108004",1,"Phoenix School",108,108,"Control School",NA,NA,1,0.983,NA,3,6,2,2,1,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"545","E412044",4,"San Antonio School",412,412,"Control School",NA,NA,1,0.977,NA,3,0,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"546","S302001",3,"Phoenix School",302,315,"FAST Program",NA,NA,1,0.989,NA,NA,1,1,1,1,1,2,1,1,4,4,2,2,2,2,2,2,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"547","E415079",4,"San Antonio School",415,415,"FAST Program",NA,NA,1,0.96,NA,5,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"548","E412043",4,"San Antonio School",412,412,"Control School",NA,NA,1,0.955,NA,3,0,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"1"
"549","S108040",1,"Phoenix School",108,108,"Control School",NA,NA,1,0.972,NA,5,0,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"1"
"550","E418102",4,"San Antonio School",418,418,"FAST Program",NA,NA,1,0.955,NA,NA,6,4,3,4,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"1"
"551","E426055",4,"San Antonio School",426,NA,"FAST Program",NA,NA,3,0.991,NA,NA,2,2,1,1,2,1,1,2,6,4,1,1,4,1,2,4,1,2,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1,"0"
"552","E416019",4,"San Antonio School",416,416,"FAST Program",NA,NA,3,0.807,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.7,"0"
"553","S325030",3,"Phoenix School",325,NA,"Control School",NA,NA,1,0.978,NA,NA,5,2,1,1,3,3,3,3,3,4,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"554","E401044",4,"San Antonio School",401,410,"FAST Program",NA,NA,1,0.994,NA,5,6,3,1,3,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"555","E418007",4,"San Antonio School",418,418,"FAST Program",NA,NA,1,0.96,NA,NA,4,3,1,1,2,1,1,1,2,3,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"556","E407003",4,"San Antonio School",407,407,"FAST Program",NA,NA,3,0.972,NA,1,4,3,3,2,2,2,2,2,6,4,2,2,2,2,2,2,3,4,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"0"
"557","S108036",1,"Phoenix School",108,108,"Control School",NA,NA,1,0.994,NA,NA,6,4,4,4,4,4,4,4,6,4,2,4,2,4,4,4,6,4,1,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"558","E410025",4,"San Antonio School",410,410,"Control School",NA,NA,1,0.96,NA,5,6,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"559","S312078",3,"Phoenix School",312,312,"Control School",NA,NA,3,0.989,NA,5,3,4,4,3,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"0"
"560","E113006",1,"Phoenix School",113,113,"FAST Program",NA,NA,NA,NA,NA,3,5,3,2,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","E302014",3,"Phoenix School",302,302,"FAST Program",NA,NA,NA,NA,NA,5,2,4,3,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","E426017",4,"San Antonio School",426,402,"FAST Program",NA,NA,1,0.96,NA,5,6,3,1,3,3,2,3,3,4,3,1,3,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"563","E404092",4,"San Antonio School",404,404,"Control School",NA,NA,1,0.957,NA,5,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,3,3,1,1,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,"1"
"564","E116052",1,"Phoenix School",116,116,"FAST Program",NA,NA,1,1,NA,5,5,1,4,4,4,3,2,4,4,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"565","S117062",1,"Phoenix School",117,117,"Control School",NA,NA,1,0.978,NA,3,6,4,2,4,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"566","E226036",2,"Phoenix School",226,231,"Control School",NA,NA,2,0.983,NA,5,6,4,4,4,2,4,4,2,4,2,3,3,3,3,3,3,6,3,2,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"567","E403045",4,"San Antonio School",403,403,"FAST Program",NA,NA,1,0.994,NA,5,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"568","S111017",1,"Phoenix School",111,111,"Control School",NA,NA,1,1,NA,5,6,2,3,4,4,3,4,3,2,2,2,3,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"569","E417014",4,"San Antonio School",417,417,"Control School",NA,NA,3,0.983,NA,4,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"0"
"570","E206037",2,"Phoenix School",206,206,"Control School",NA,NA,1,0.967,NA,5,6,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,"1"
"571","E315008",3,"Phoenix School",315,315,"Control School",NA,NA,1,0.944,NA,NA,2,3,1,1,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"572","S315001",3,"Phoenix School",315,NA,"Control School",NA,NA,1,0.961,NA,NA,5,4,3,4,4,3,3,4,6,3,2,2,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,"1"
"573","E405014",4,"San Antonio School",405,405,"Control School",NA,NA,3,0.955,NA,5,6,4,1,2,3,1,2,3,6,4,1,3,3,1,3,3,6,4,3,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"0"
"574","E417043",4,"San Antonio School",417,417,"Control School",NA,NA,1,0.966,NA,5,5,1,1,1,2,1,2,2,6,2,1,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"575","E422032",4,"San Antonio School",422,422,"Control School",NA,NA,1,0.904,NA,5,6,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,"1"
"576","E226009",2,"Phoenix School",226,NA,"Control School",NA,NA,3,0.8,NA,NA,0,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"0"
"577","S207024",2,"Phoenix School",207,207,"FAST Program",NA,NA,1,0.983,NA,5,1,2,2,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"578","E226038",2,"Phoenix School",226,227,"Control School",NA,NA,1,0.917,NA,5,4,4,2,3,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,"1"
"579","E111025",1,"Phoenix School",111,111,"Control School",NA,NA,1,0.922,NA,5,3,2,1,1,2,1,1,1,5,3,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,"1"
"580","S207003",2,"Phoenix School",207,NA,"FAST Program",NA,NA,1,0.944,NA,NA,0,1,2,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"581","E422017",4,"San Antonio School",422,439,"Control School",NA,NA,1,0.966,NA,NA,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"582","E302082",3,"Phoenix School",302,NA,"FAST Program",NA,NA,2,0.978,NA,NA,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"583","E402018",4,"San Antonio School",402,402,"Control School",NA,NA,1,0.904,NA,5,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,"1"
"584","S304002",3,"Phoenix School",304,NA,"FAST Program",NA,NA,1,0.939,NA,NA,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.9,"1"
"585","E405067",4,"San Antonio School",405,405,"Control School",NA,NA,1,0.938,NA,5,1,4,4,4,4,4,4,4,5,1,1,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,"1"
"586","S113016",1,"Phoenix School",113,113,"FAST Program",NA,NA,1,1,NA,3,1,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"587","E304033",3,"Phoenix School",304,304,"FAST Program",NA,NA,1,0.876,NA,5,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,"1"
"588","E220101",2,"Phoenix School",220,NA,"FAST Program",NA,NA,1,0.944,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"589","E415029",4,"San Antonio School",415,461,"FAST Program",NA,NA,1,0.966,NA,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"590","E420015",4,"San Antonio School",420,420,"Control School",NA,NA,3,0.966,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"0"
"591","E406063",4,"San Antonio School",406,NA,"FAST Program",NA,NA,1,0.932,NA,NA,2,1,3,1,1,1,1,1,3,3,1,2,3,1,2,2,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,"1"
"592","S315039",3,"Phoenix School",315,330,"Control School",NA,NA,1,0.95,NA,5,2,2,3,4,3,3,3,2,5,3,3,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,"1"
"593","S302003",3,"Phoenix School",302,302,"FAST Program",NA,NA,1,0.805,NA,5,0,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5,"1"
"594","S321011",3,"Phoenix School",321,321,"Control School",NA,NA,1,0.989,NA,NA,4,4,3,3,3,1,3,2,3,3,1,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"595","E401068",4,"San Antonio School",401,402,"FAST Program",NA,NA,1,0.927,NA,5,1,NA,1,1,1,1,1,1,2,1,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,"1"
"596","E410048",4,"San Antonio School",410,NA,"Control School",NA,NA,3,0.96,NA,NA,2,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"0"
"597","E301019",3,"Phoenix School",301,301,"FAST Program",NA,NA,1,0.916,NA,1,6,2,1,1,1,2,3,2,6,4,1,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,"1"
"598","E413065",4,"San Antonio School",413,NA,"FAST Program",NA,NA,1,1,NA,NA,0,1,1,1,1,1,2,1,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"599","E403016",4,"San Antonio School",403,403,"FAST Program",NA,NA,2,0.977,NA,5,6,2,2,2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"600","E220091",2,"Phoenix School",220,NA,"FAST Program",NA,NA,3,0.972,NA,NA,5,1,1,1,2,1,1,2,4,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"0"
"601","E224066",2,"Phoenix School",224,224,"Control School",NA,NA,1,0.978,NA,5,3,2,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"602","S304051",3,"Phoenix School",304,302,"FAST Program",NA,NA,2,0.939,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.9,"1"
"603","E224027",2,"Phoenix School",224,224,"Control School",NA,NA,3,0.972,NA,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"0"
"604","E319025",3,"Phoenix School",319,319,"Control School",NA,NA,3,0.989,NA,5,0,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"0"
"605","E048012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","S123006",1,"Phoenix School",123,127,"FAST Program",NA,NA,1,0.955,NA,NA,6,4,2,3,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"1"
"607","S116058",1,"Phoenix School",116,NA,"FAST Program",NA,NA,1,0.983,NA,NA,0,4,3,3,4,3,3,4,4,3,3,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"608","E421019",4,"San Antonio School",421,NA,"FAST Program",NA,NA,1,0.991,5,NA,3,1,1,1,1,1,1,1,6,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,NA,1,2,1,1,2,3,1,NA,99.1,"1"
"609","E413040",4,"San Antonio School",413,413,"FAST Program",NA,NA,3,0.994,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"0"
"610","E302012",3,"Phoenix School",302,NA,"FAST Program",NA,NA,1,0.956,NA,NA,6,NA,1,4,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,"1"
"611","E303023",3,"Phoenix School",303,NA,"Control School",NA,NA,2,0.894,NA,NA,4,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,4,3,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,"1"
"612","S407025",4,"San Antonio School",407,442,"FAST Program",NA,NA,1,0.966,NA,4,2,3,1,1,1,1,1,1,5,3,1,1,4,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"613","E422029",4,"San Antonio School",422,NA,"Control School",NA,NA,1,0.979,NA,NA,6,4,3,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.9,"1"
"614","E406003",4,"San Antonio School",406,444,"FAST Program",NA,NA,1,0.989,NA,1,5,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,5,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"615","E117035",1,"Phoenix School",117,NA,"Control School",NA,NA,1,0.994,NA,NA,4,2,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
