"","STUDENTID","DISTRICTID","PHOENIX","Y1SCHOOLID","Y3SCHOOLID","FAST","S13A","S13B","LUNCH_STATUS","ATTENDANCE_RATE","S2B","C3YRSTCH","P6","P5","P3A","P3B","P3C","P4A","P4B","P4C","Q11","Q10","Q8A","Q8B","Q8C","Q9A","Q9B","Q9C","R6","R5","R3A","R3B","R3C","R4A","R4B","R4C","S12A","S11","S9A","S9B","S9C","S10A","S10B","S10C","PHQ2","ATTENDANCE_PCT","FR_LUNCH"
"1710","E408027",4,"San Antonio School",408,409,"FAST Program",NA,NA,3,0.966,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"0"
"1711","E046063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1712","S426022",4,"San Antonio School",426,NA,"FAST Program",NA,NA,1,0.915,NA,NA,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,"1"
"1713","E414019",4,"San Antonio School",414,414,"FAST Program",NA,NA,1,0.966,NA,4,3,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"1714","E426026",4,"San Antonio School",426,NA,"FAST Program",NA,NA,1,0.983,NA,NA,2,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"1715","E417011",4,"San Antonio School",417,417,"Control School",NA,NA,1,0.949,NA,5,6,3,1,3,3,3,4,4,6,2,1,3,4,1,3,4,6,2,1,3,4,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"1716","E415022",4,"San Antonio School",415,NA,"FAST Program",NA,NA,1,0.977,NA,NA,3,2,1,2,2,1,2,2,0,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"1717","S319007",3,"Phoenix School",319,319,"Control School",NA,NA,1,0.961,NA,NA,6,4,4,4,4,3,4,4,5,3,3,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,"1"
"1718","E407009",4,"San Antonio School",407,407,"FAST Program",NA,NA,1,0.932,NA,1,4,4,3,3,3,3,3,3,5,2,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,"1"
"1719","S305039",3,"Phoenix School",305,NA,"FAST Program",NA,NA,1,0.91,NA,NA,0,3,3,3,3,2,NA,3,3,3,1,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"1"
"1720","E421026",4,"San Antonio School",421,421,"FAST Program",NA,NA,1,0.921,NA,5,0,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,"1"
"1721","E424023",4,"San Antonio School",424,424,"Control School",NA,NA,1,1,NA,5,6,2,2,2,2,2,2,2,6,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"1722","S113060",1,"Phoenix School",113,113,"FAST Program",NA,NA,1,0.978,NA,3,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"1723","E422006",4,"San Antonio School",422,NA,"Control School",NA,NA,1,0.819,NA,NA,6,1,1,1,3,1,1,3,4,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,"1"
"1724","E046039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1725","S113057",1,"Phoenix School",113,113,"FAST Program",NA,NA,1,0.994,NA,1,6,4,1,1,1,3,2,2,6,4,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"1726","E426062",4,"San Antonio School",426,426,"FAST Program",NA,NA,1,1,NA,NA,6,4,3,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"1727","E425062",4,"San Antonio School",425,NA,"FAST Program",NA,NA,1,0.994,NA,NA,3,4,1,3,3,1,3,2,3,4,4,4,4,2,4,2,6,4,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"1728","E409021",4,"San Antonio School",409,NA,"Control School",NA,NA,1,0.981,NA,NA,0,3,1,1,1,1,2,1,1,3,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1,"1"
"1729","S117058",1,"Phoenix School",117,NA,"Control School",NA,NA,NA,NA,NA,NA,2,2,4,3,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1730","E423030",4,"San Antonio School",423,423,"Control School",NA,NA,3,0.966,NA,5,2,1,1,1,2,1,1,2,3,3,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"0"
"1731","E412022",4,"San Antonio School",412,412,"Control School",NA,NA,1,0.926,NA,5,3,3,1,3,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,"1"
"1732","E218103",2,"Phoenix School",218,NA,"Control School",NA,NA,1,0.922,NA,NA,6,3,3,3,4,4,4,4,6,3,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,"1"
"1733","S206008",2,"Phoenix School",206,NA,"Control School",NA,NA,1,0.983,NA,NA,1,4,2,2,2,3,2,2,6,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"1734","E410032",4,"San Antonio School",410,NA,"Control School",NA,NA,1,0.966,NA,NA,2,3,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"1735","E116006",1,"Phoenix School",116,NA,"FAST Program",NA,NA,1,0.983,NA,NA,3,1,3,3,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
